,EVENT,DATE,LOCATION,BOUT,WINNER,WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,URL
2050,UFC Fight Night: Chiesa Vs. Magny,"January 20, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",Sumudaerji  vs  Zarrukh Adashev,Sumudaerji,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Eric Colon 28 - 29.Sal D'amato 28 - 29.Clemens Werner 27 - 30.,http://ufcstats.com/fight-details/ddbe6fd66d7f9e35
2051,UFC Fight Night: Chiesa Vs. Magny,"January 20, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",Dalcha Lungiambula  vs  Markus Perez,Dalcha Lungiambula,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Mike Bell 28 - 29.Anders Ohlsson 28 - 29.Paul Sutherland 28 - 29.,http://ufcstats.com/fight-details/76b61ff4c9760f79
2052,UFC Fight Night: Chiesa Vs. Magny,"January 20, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",Francisco Figueiredo  vs  Jerome Rivera,Francisco Figueiredo,Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Ben Cartlidge 28 - 29.David Lethaby 28 - 29.Clemens Werner 28 - 29.,http://ufcstats.com/fight-details/4e451881e0e47b05
2053,UFC Fight Night: Chiesa Vs. Magny,"January 20, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",Mike Davis  vs  Mason Jones,Mike Davis,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Sal D'amato 28 - 29.Eric Colon 28 - 29.Anders Ohlsson 28 - 29.,http://ufcstats.com/fight-details/031e6624f96aceb8
2054,UFC Fight Night: Chiesa Vs. Magny,"January 20, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",Mike Davis  vs  Mason Jones,Mike Davis,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Sal D'amato 28 - 29.Eric Colon 28 - 29.Anders Ohlsson 28 - 29.,http://ufcstats.com/fight-details/031e6624f96aceb8
2055,UFC Fight Night: Chiesa Vs. Magny,"January 20, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",Umar Nurmagomedov  vs  Sergey Morozov,Umar Nurmagomedov,Bantamweight Bout,Submission,2,3:39,3 Rnd (5-5-5),Jason Herzog,Rear Naked Choke ,http://ufcstats.com/fight-details/11558384f80f6506
2056,UFC Fight Night: Chiesa Vs. Magny,"January 20, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",Victoria Leonardo  vs  Manon Fiorot,Manon Fiorot,Women's Flyweight Bout,KO/TKO,2,4:08,3 Rnd (5-5-5),Lukasz Bosacki,Punches to Head At Distance ,http://ufcstats.com/fight-details/ae38fb2a6b6a0cc1
2057,UFC Fight Night: Holloway Vs. Kattar,"January 16, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",Max Holloway  vs  Calvin Kattar,Max Holloway,Featherweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Mike Bell 43 - 50.Ben Cartlidge 43 - 50.David Lethaby 42 - 50.,http://ufcstats.com/fight-details/a4817b7e46028b4a
2058,UFC Fight Night: Holloway Vs. Kattar,"January 16, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",Carlos Condit  vs  Matt Brown,Carlos Condit,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Anders Ohlsson 27 - 30.Paul Sutherland 27 - 30.Clemens Werner 27 - 30.,http://ufcstats.com/fight-details/6b0da0b1cda7799f
2059,UFC Fight Night: Holloway Vs. Kattar,"January 16, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",Santiago Ponzinibbio  vs  Li Jingliang,Li Jingliang,Welterweight Bout,KO/TKO,1,4:25,3 Rnd (5-5-5),Jason Herzog,Punch to Head At Distance ,http://ufcstats.com/fight-details/aeb7ff8ce6e1beac
2060,UFC Fight Night: Holloway Vs. Kattar,"January 16, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",Joaquin Buckley  vs  Alessio Di Chirico,Alessio Di Chirico,Middleweight Bout,KO/TKO,1,2:12,3 Rnd (5-5-5),Keith Peterson,Kick to Head At Distance ,http://ufcstats.com/fight-details/775c1f401815bbd8
2061,UFC Fight Night: Holloway Vs. Kattar,"January 16, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",Punahele Soriano  vs  Dusko Todorovic,Punahele Soriano,Middleweight Bout,KO/TKO,1,4:48,3 Rnd (5-5-5),Herb Dean,Punch to Head At Distance ,http://ufcstats.com/fight-details/358f816aff469270
2062,UFC Fight Night: Holloway Vs. Kattar,"January 16, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",Wu Yanan  vs  Joselyne Edwards,Joselyne Edwards,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Lukasz Bosacki 27 - 30.Anders Ohlsson 27 - 30.Ben Cartlidge 28 - 29.,http://ufcstats.com/fight-details/97ad63e644757cf4
2063,UFC Fight Night: Holloway Vs. Kattar,"January 16, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",Carlos Felipe  vs  Justin Tafa,Carlos Felipe,Heavyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,Lukasz Bosacki 28 - 29.Anders Ohlsson 29 - 28.Paul Sutherland 28 - 29.,http://ufcstats.com/fight-details/0165bd3c26f0c076
2064,UFC Fight Night: Holloway Vs. Kattar,"January 16, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",David Zawada  vs  Ramazan Emeev,Ramazan Emeev,Welterweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Jason Herzog,Ben Cartlidge 28 - 29.Mike Bell 29 - 28.David Lethaby 28 - 29.,http://ufcstats.com/fight-details/3fcd53eb27945231
2065,UFC Fight Night: Holloway Vs. Kattar,"January 16, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",Sarah Moras  vs  Vanessa Melo,Vanessa Melo,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Keith Peterson,Lukasz Bosacki 27 - 30.Anders Ohlsson 28 - 29.Clemens Werner 28 - 29.,http://ufcstats.com/fight-details/97c80f69ac312030
2066,UFC Fight Night: Holloway Vs. Kattar,"January 16, 2021","Abu Dhabi, Abu Dhabi, United Arab Emirates",Jacob Kilburn  vs  Austin Lingo,Austin Lingo,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,David Lethaby 26 - 30.Paul Sutherland 26 - 30.Ben Cartlidge 27 - 30.,http://ufcstats.com/fight-details/3d903bc35023f50a
2067,UFC Fight Night: Thompson Vs. Neal,"December 19, 2020","Las Vegas, Nevada, USA",Stephen Thompson  vs  Geoff Neal,Stephen Thompson,Welterweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Marc Goddard,Derek Cleary 45 - 50.Sal D'amato 45 - 50.Junichiro Kamijo 45 - 50.,http://ufcstats.com/fight-details/c7375d5db21cbaae
2068,UFC Fight Night: Thompson Vs. Neal,"December 19, 2020","Las Vegas, Nevada, USA",Jose Aldo  vs  Marlon Vera,Jose Aldo,Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Mike Bell 28 - 29.Eric Colon 28 - 29.Ron McCarthy 28 - 29.,http://ufcstats.com/fight-details/014f1da2083ca174
2069,UFC Fight Night: Thompson Vs. Neal,"December 19, 2020","Las Vegas, Nevada, USA",Michel Pereira  vs  Khaos Williams,Michel Pereira,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 28 - 29.Eric Colon 28 - 29.Tony Weeks 28 - 29.,http://ufcstats.com/fight-details/3d35eb2d46bf74de
2070,UFC Fight Night: Thompson Vs. Neal,"December 19, 2020","Las Vegas, Nevada, USA",Marlon Moraes  vs  Rob Font,Rob Font,Bantamweight Bout,KO/TKO,1,3:47,3 Rnd (5-5-5),Marc Goddard,Punches to Head On Ground ,http://ufcstats.com/fight-details/8955ea3c7c332e6c
2071,UFC Fight Night: Thompson Vs. Neal,"December 19, 2020","Las Vegas, Nevada, USA",Marcin Tybura  vs  Greg Hardy,Marcin Tybura,Heavyweight Bout,KO/TKO,2,4:31,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head From Half Guard ,http://ufcstats.com/fight-details/cd150cd28738a7c5
2072,UFC Fight Night: Thompson Vs. Neal,"December 19, 2020","Las Vegas, Nevada, USA",Anthony Pettis  vs  Alex Morono,Anthony Pettis,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Derek Cleary 28 - 29.Eric Colon 28 - 29.Ron McCarthy 28 - 29.,http://ufcstats.com/fight-details/1c4602efe5587902
2073,UFC Fight Night: Thompson Vs. Neal,"December 19, 2020","Las Vegas, Nevada, USA",Sijara Eubanks  vs  Pannie Kianzad,Pannie Kianzad,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Derek Cleary 28 - 29.Sal D'amato 28 - 29.Junichiro Kamijo 28 - 29.,http://ufcstats.com/fight-details/4cb249714ff56656
2074,UFC Fight Night: Thompson Vs. Neal,"December 19, 2020","Las Vegas, Nevada, USA",Deron Winn  vs  Antonio Arroyo,Deron Winn,Catch Weight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Dan Miragliotta,Derek Cleary 28 - 29.Sal D'amato 28 - 29.Tony Weeks 28 - 29.,http://ufcstats.com/fight-details/f004d3d50b78af50
2075,UFC Fight Night: Thompson Vs. Neal,"December 19, 2020","Las Vegas, Nevada, USA",Gillian Robertson  vs  Taila Santos,Taila Santos,Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Chris Lee 26 - 30.Derek Cleary 26 - 30.Dave Hagen 28 - 29.,http://ufcstats.com/fight-details/f2fb049980631302
2076,UFC Fight Night: Thompson Vs. Neal,"December 19, 2020","Las Vegas, Nevada, USA",Tafon Nchukwi  vs  Jamie Pickett,Tafon Nchukwi,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Eric Colon 25 - 30.Mike Bell 26 - 30.Chris Lee 26 - 30.,http://ufcstats.com/fight-details/0fe4906754b2d0f9
2077,UFC Fight Night: Thompson Vs. Neal,"December 19, 2020","Las Vegas, Nevada, USA",Jimmy Flick  vs  Cody Durden,Jimmy Flick,Flyweight Bout,Submission,1,3:18,3 Rnd (5-5-5),Jerin Valel,Flying TriangleFlying Triangle,http://ufcstats.com/fight-details/62e6eadbb2805760
2078,UFC Fight Night: Thompson Vs. Neal,"December 19, 2020","Las Vegas, Nevada, USA",Christos Giagos  vs  Carlton Minus,Christos Giagos,Catch Weight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Sal D'amato 26 - 30.Dave Hagen 27 - 29.Junichiro Kamijo 28 - 29.,http://ufcstats.com/fight-details/8da75fd76a9b8e1d
2079,UFC 256: Figueiredo Vs. Moreno,"December 12, 2020","Las Vegas, Nevada, USA",Deiveson Figueiredo  vs  Brandon Moreno,Draw,UFC Flyweight Title Bout,Decision - Majority,5,5:00,5 Rnd (5-5-5-5-5),Jason Herzog,Derek Cleary 46 - 48.Sal D'amato 47 - 47.Junichiro Kamijo 47 - 47.,http://ufcstats.com/fight-details/c258996570faeec9
2080,UFC 256: Figueiredo Vs. Moreno,"December 12, 2020","Las Vegas, Nevada, USA",Tony Ferguson  vs  Charles Oliveira,Charles Oliveira,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Mike Bell 26 - 30.Eric Colon 26 - 30.Ron McCarthy 26 - 30.,http://ufcstats.com/fight-details/b7b867eb3c3cf163
2081,UFC 256: Figueiredo Vs. Moreno,"December 12, 2020","Las Vegas, Nevada, USA",Mackenzie Dern  vs  Virna Jandiroba,Mackenzie Dern,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Derek Cleary 28 - 29.Sal D'amato 28 - 29.Junichiro Kamijo 28 - 29.,http://ufcstats.com/fight-details/27200d53ba9020b8
2082,UFC 256: Figueiredo Vs. Moreno,"December 12, 2020","Las Vegas, Nevada, USA",Kevin Holland  vs  Jacare Souza,Kevin Holland,Middleweight Bout,KO/TKO,1,1:45,3 Rnd (5-5-5),Mark Smith,Punch to Head From Bottom ,http://ufcstats.com/fight-details/4a172a5191cb8e60
2083,UFC 256: Figueiredo Vs. Moreno,"December 12, 2020","Las Vegas, Nevada, USA",Junior Dos Santos  vs  Ciryl Gane,Ciryl Gane,Heavyweight Bout,KO/TKO,2,2:34,3 Rnd (5-5-5),Jerin Valel,Elbow to Head In Clinch ,http://ufcstats.com/fight-details/fe3ff5b1d9135add
2084,UFC 256: Figueiredo Vs. Moreno,"December 12, 2020","Las Vegas, Nevada, USA",Cub Swanson  vs  Daniel Pineda,Cub Swanson,Featherweight Bout,KO/TKO,2,1:52,3 Rnd (5-5-5),Mark Smith,Punch to Head At Distance ,http://ufcstats.com/fight-details/022bdd58cc6e571d
2085,UFC 256: Figueiredo Vs. Moreno,"December 12, 2020","Las Vegas, Nevada, USA",Renato Moicano  vs  Rafael Fiziev,Rafael Fiziev,Lightweight Bout,KO/TKO,1,4:05,3 Rnd (5-5-5),Chris Tognoni,Punch to Head At Distance ,http://ufcstats.com/fight-details/cb7616f92a9a4e5b
2086,UFC 256: Figueiredo Vs. Moreno,"December 12, 2020","Las Vegas, Nevada, USA",Gavin Tucker  vs  Billy Quarantillo,Gavin Tucker,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jerin Valel,Dave Hagen 27 - 30.Chris Lee 27 - 30.Ron McCarthy 27 - 30.,http://ufcstats.com/fight-details/87d0b767742d3239
2087,UFC 256: Figueiredo Vs. Moreno,"December 12, 2020","Las Vegas, Nevada, USA",Tecia Torres  vs  Sam Hughes,Tecia Torres,Women's Strawweight Bout,TKO - Doctor's Stoppage,1,5:00,3 Rnd (5-5-5),Jason Herzog,Eye Injury,http://ufcstats.com/fight-details/5ddf45e816a50fac
2088,UFC 256: Figueiredo Vs. Moreno,"December 12, 2020","Las Vegas, Nevada, USA",Chase Hooper  vs  Peter Barrett,Chase Hooper,Featherweight Bout,Submission,3,3:02,3 Rnd (5-5-5),Chris Tognoni,Heel Hook On Ground ,http://ufcstats.com/fight-details/33d52ac2d70b8415
2089,UFC Fight Night: Hermansson Vs. Vettori,"December 05, 2020","Las Vegas, Nevada, USA",Jack Hermansson  vs  Marvin Vettori,Marvin Vettori,Middleweight Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Derek Cleary 46 - 49.Sal D'amato 46 - 49.Junichiro Kamijo 45 - 49.,http://ufcstats.com/fight-details/2723f4d275d3f619
2090,UFC Fight Night: Hermansson Vs. Vettori,"December 05, 2020","Las Vegas, Nevada, USA",Ovince Saint Preux  vs  Jamahal Hill,Jamahal Hill,Light Heavyweight Bout,KO/TKO,2,3:37,3 Rnd (5-5-5),Jason Herzog,Punches to Head At Distance ,http://ufcstats.com/fight-details/8d4a475e48722fea
2091,UFC Fight Night: Hermansson Vs. Vettori,"December 05, 2020","Las Vegas, Nevada, USA",Gabriel Benitez  vs  Justin Jaynes,Gabriel Benitez,Lightweight Bout,KO/TKO,1,4:06,3 Rnd (5-5-5),Jason Herzog,Knee to Body At Distance ,http://ufcstats.com/fight-details/46860358da8b8d82
2092,UFC Fight Night: Hermansson Vs. Vettori,"December 05, 2020","Las Vegas, Nevada, USA",Roman Dolidze  vs  John Allan,Roman Dolidze,Light Heavyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,Chris Lee 29 - 28.Dave Hagen 27 - 30.Mike Bell 28 - 29.,http://ufcstats.com/fight-details/4478ee77a647ae9d
2093,UFC Fight Night: Hermansson Vs. Vettori,"December 05, 2020","Las Vegas, Nevada, USA",Matt Wiman  vs  Jordan Leavitt,Jordan Leavitt,Lightweight Bout,KO/TKO,1,0:22,3 Rnd (5-5-5),Chris Tognoni,Slam to On Ground ,http://ufcstats.com/fight-details/856fab879c68ded7
2094,UFC Fight Night: Hermansson Vs. Vettori,"December 05, 2020","Las Vegas, Nevada, USA",Louis Smolka  vs  Jose Quinonez,Louis Smolka,Bantamweight Bout,KO/TKO,2,2:15,3 Rnd (5-5-5),Jason Herzog,Punches to Head From Back Control ,http://ufcstats.com/fight-details/771d8ce136a12a13
2095,UFC Fight Night: Hermansson Vs. Vettori,"December 05, 2020","Las Vegas, Nevada, USA",Ilia Topuria  vs  Damon Jackson,Ilia Topuria,Featherweight Bout,KO/TKO,1,2:38,3 Rnd (5-5-5),Mark Smith,Punch to Head At Distance ,http://ufcstats.com/fight-details/b1be8b41b1a4fd85
2096,UFC Fight Night: Hermansson Vs. Vettori,"December 05, 2020","Las Vegas, Nevada, USA",Gian Villante  vs  Jake Collier,Jake Collier,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Sal D'amato 27 - 30.Eric Colon 27 - 30.Adalaide Byrd 27 - 30.,http://ufcstats.com/fight-details/c4d1c4b82cf34afb
2097,UFC Fight Night: Smith Vs. Clark,"November 28, 2020","Las Vegas, Nevada, USA",Anthony Smith  vs  Devin Clark,Anthony Smith,Light Heavyweight Bout,Submission,1,2:34,5 Rnd (5-5-5-5-5),Herb Dean,Triangle Choke From Bottom Guard ,http://ufcstats.com/fight-details/09a29fb09fe07559
2098,UFC Fight Night: Smith Vs. Clark,"November 28, 2020","Las Vegas, Nevada, USA",Miguel Baeza  vs  Takashi Sato,Miguel Baeza,Welterweight Bout,Submission,2,4:28,3 Rnd (5-5-5),Dan Miragliotta,Arm Triangle From Side Control ,http://ufcstats.com/fight-details/28b6ee9c3eb8b753
2099,UFC Fight Night: Smith Vs. Clark,"November 28, 2020","Las Vegas, Nevada, USA",Josh Parisian  vs  Parker Porter,Parker Porter,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Eric Colon 26 - 30.Anthony Maness 27 - 30.Tony Weeks 28 - 29.,http://ufcstats.com/fight-details/32a7da2f34ae3803
2100,UFC Fight Night: Smith Vs. Clark,"November 28, 2020","Las Vegas, Nevada, USA",Spike Carlyle  vs  Bill Algeo,Bill Algeo,Featherweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,Mike Bell 27 - 30.Sal D'amato 27 - 30.Tony Weeks 27 - 30.,http://ufcstats.com/fight-details/181c3312f14de5a8
2101,UFC Fight Night: Smith Vs. Clark,"November 28, 2020","Las Vegas, Nevada, USA",Ashlee Evans-Smith  vs  Norma Dumont,Norma Dumont,Women's Bantamweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Mike Bell 26 - 30.Derek Cleary 26 - 30.Dave Hagen 26 - 30.,http://ufcstats.com/fight-details/2a7909acde26a240
2102,UFC Fight Night: Smith Vs. Clark,"November 28, 2020","Las Vegas, Nevada, USA",Jonathan Pearce  vs  Kai Kamaka,Jonathan Pearce,Featherweight Bout,KO/TKO,2,4:28,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head From Back Control ,http://ufcstats.com/fight-details/4d56bcd82438e632
2103,UFC Fight Night: Smith Vs. Clark,"November 28, 2020","Las Vegas, Nevada, USA",Martin Day  vs  Anderson Dos Santos,Anderson Dos Santos,Bantamweight Bout,Submission,1,4:35,3 Rnd (5-5-5),Herb Dean,Guillotine Choke From Bottom Guard ,http://ufcstats.com/fight-details/0c27552ea7bc8c8a
2104,UFC Fight Night: Smith Vs. Clark,"November 28, 2020","Las Vegas, Nevada, USA",Gina Mazany  vs  Rachael Ostovich,Gina Mazany,Women's Flyweight Bout,KO/TKO,3,4:10,3 Rnd (5-5-5),Mark Smith,Kick to Body At Distance ,http://ufcstats.com/fight-details/711f00d287344c77
2105,UFC Fight Night: Smith Vs. Clark,"November 28, 2020","Las Vegas, Nevada, USA",Sumudaerji  vs  Malcolm Gordon,Sumudaerji,Flyweight Bout,KO/TKO,1,0:44,3 Rnd (5-5-5),Dan Miragliotta,Punches to Head At Distance ,http://ufcstats.com/fight-details/8868957c1735bcf0
2106,UFC Fight Night: Smith Vs. Clark,"November 28, 2020","Las Vegas, Nevada, USA",Luke Sanders  vs  Nate Maness,Nate Maness,Catch Weight Bout,Submission,2,2:29,3 Rnd (5-5-5),Jason Herzog,Rear Naked Choke ,http://ufcstats.com/fight-details/e64d80dcc6853ea0
2107,UFC 255: Figueiredo Vs. Perez,"November 21, 2020","Las Vegas, Nevada, USA",Deiveson Figueiredo  vs  Alex Perez,Deiveson Figueiredo,UFC Flyweight Title Bout,Submission,1,1:57,5 Rnd (5-5-5-5-5),Marc Goddard,Guillotine Choke From Bottom Guard ,http://ufcstats.com/fight-details/3c098e2946b4c824
2108,UFC 255: Figueiredo Vs. Perez,"November 21, 2020","Las Vegas, Nevada, USA",Valentina Shevchenko  vs  Jennifer Maia,Valentina Shevchenko,UFC Women's Flyweight Title Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Sal D'amato 46 - 49.Mike Bell 46 - 49.Junichiro Kamijo 46 - 49.,http://ufcstats.com/fight-details/c93eebe24aa0299d
2109,UFC 255: Figueiredo Vs. Perez,"November 21, 2020","Las Vegas, Nevada, USA",Mike Perry  vs  Tim Means,Tim Means,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Marc Goddard,Dave Hagen 27 - 30.Chris Lee 28 - 29.Mike Bell 28 - 29.,http://ufcstats.com/fight-details/2b13651b97f57b6c
2110,UFC 255: Figueiredo Vs. Perez,"November 21, 2020","Las Vegas, Nevada, USA",Katlyn Chookagian  vs  Cynthia Calvillo,Katlyn Chookagian,Women's Flyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Junichiro Kamijo 27 - 30.Sal D'amato 27 - 30.Derek Cleary 27 - 30.,http://ufcstats.com/fight-details/08ef2ed7393efd24
2111,UFC 255: Figueiredo Vs. Perez,"November 21, 2020","Las Vegas, Nevada, USA",Mauricio Rua  vs  Paul Craig,Paul Craig,Light Heavyweight Bout,KO/TKO,2,3:36,3 Rnd (5-5-5),Herb Dean,Punches to Head From Back Control ,http://ufcstats.com/fight-details/1671723154d8e324
2112,UFC 255: Figueiredo Vs. Perez,"November 21, 2020","Las Vegas, Nevada, USA",Brandon Moreno  vs  Brandon Royval,Brandon Moreno,Flyweight Bout,KO/TKO,1,4:59,3 Rnd (5-5-5),Marc Goddard,Punches to Head On Ground ,http://ufcstats.com/fight-details/8d5ea3bf3be7cb91
2113,UFC 255: Figueiredo Vs. Perez,"November 21, 2020","Las Vegas, Nevada, USA",Joaquin Buckley  vs  Jordan Wright,Joaquin Buckley,Middleweight Bout,KO/TKO,2,0:18,3 Rnd (5-5-5),Herb Dean,Punches to Head At Distance ,http://ufcstats.com/fight-details/6c1b38dd918793ff
2114,UFC 255: Figueiredo Vs. Perez,"November 21, 2020","Las Vegas, Nevada, USA",Antonina Shevchenko  vs  Ariane Lipski,Antonina Shevchenko,Women's Flyweight Bout,KO/TKO,2,4:33,3 Rnd (5-5-5),Chris Tognoni,Punches to Head From Back Control ,http://ufcstats.com/fight-details/a485281be8e9d2e2
2115,UFC 255: Figueiredo Vs. Perez,"November 21, 2020","Las Vegas, Nevada, USA",Daniel Rodriguez  vs  Nicolas Dalby,Nicolas Dalby,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Tony Weeks 27 - 30.Anthony Maness 28 - 29.Derek Cleary 28 - 29.,http://ufcstats.com/fight-details/e22d5aab3d099c7c
2116,UFC 255: Figueiredo Vs. Perez,"November 21, 2020","Las Vegas, Nevada, USA",Alan Jouban  vs  Jared Gooden,Alan Jouban,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Dave Hagen 27 - 30.Eric Colon 27 - 30.Mike Bell 27 - 30.,http://ufcstats.com/fight-details/a02764f92a84dd36
2117,UFC 255: Figueiredo Vs. Perez,"November 21, 2020","Las Vegas, Nevada, USA",Kyle Daukaus  vs  Dustin Stoltzfus,Kyle Daukaus,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Tony Weeks 27 - 30.Junichiro Kamijo 27 - 30.Mike Bell 26 - 30.,http://ufcstats.com/fight-details/90eb22b9eb6ed2a8
2118,UFC 255: Figueiredo Vs. Perez,"November 21, 2020","Las Vegas, Nevada, USA",Louis Cosce  vs  Sasha Palatnikov,Sasha Palatnikov,Welterweight Bout,KO/TKO,3,2:47,3 Rnd (5-5-5),Chris Tognoni,Punches to Head On Ground ,http://ufcstats.com/fight-details/91afc389191d41fb
2119,UFC Fight Night: Felder Vs. Dos Anjos,"November 14, 2020","Las Vegas, Nevada, USA",Paul Felder  vs  Rafael Dos Anjos,Rafael Dos Anjos,Lightweight Bout,Decision - Split,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,Chris Lee 48 - 47.Sal D'amato 45 - 50.Derek Cleary 45 - 50.,http://ufcstats.com/fight-details/80cb3cf9134b677c
2120,UFC Fight Night: Felder Vs. Dos Anjos,"November 14, 2020","Las Vegas, Nevada, USA",Abdul Razak Alhassan  vs  Khaos Williams,Khaos Williams,Welterweight Bout,KO/TKO,1,0:30,3 Rnd (5-5-5),Mark Smith,Punch to Head At Distance ,http://ufcstats.com/fight-details/30eb24f7904c2128
2121,UFC Fight Night: Felder Vs. Dos Anjos,"November 14, 2020","Las Vegas, Nevada, USA",Ashley Yoder  vs  Miranda Granger,Ashley Yoder,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Ron McCarthy 26 - 30.Chris Lee 27 - 29.Derek Cleary 27 - 29.,http://ufcstats.com/fight-details/34db1e0e2499e7ae
2122,UFC Fight Night: Felder Vs. Dos Anjos,"November 14, 2020","Las Vegas, Nevada, USA",Brendan Allen  vs  Sean Strickland,Sean Strickland,Catch Weight Bout,KO/TKO,2,1:32,3 Rnd (5-5-5),Herb Dean,Punches to Head In Clinch ,http://ufcstats.com/fight-details/fa6e8fa6c3f05e31
2123,UFC Fight Night: Felder Vs. Dos Anjos,"November 14, 2020","Las Vegas, Nevada, USA",Kay Hansen  vs  Cory McKenna,Cory McKenna,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,Chris Lee 28 - 29.Sal D'amato 28 - 29.Derek Cleary 28 - 29.,http://ufcstats.com/fight-details/742dc4196d329db0
2124,UFC Fight Night: Felder Vs. Dos Anjos,"November 14, 2020","Las Vegas, Nevada, USA",Randa Markos  vs  Kanako Murata,Kanako Murata,Women's Strawweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,Junichiro Kamijo 27 - 30.Sal D'amato 27 - 30.Mike Bell 27 - 30.,http://ufcstats.com/fight-details/470391c4067bf49b
2125,UFC Fight Night: Felder Vs. Dos Anjos,"November 14, 2020","Las Vegas, Nevada, USA",Geraldo de Freitas  vs  Tony Gravely,Tony Gravely,Bantamweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),Chris Tognoni,Dave Hagen 27 - 30.Sal D'amato 29 - 28.Mike Bell 28 - 29.,http://ufcstats.com/fight-details/9e4dcac049327529
